tanggal,id,nama,hari,status_kehadiran,waktu_presensi
2024-05-01,10,TUHAN,RABU,HADIR,08:30:00
2024-05-01,11,HIKAM,RABU,TIDAK HADIR,17:00:01
2024-05-01,12,BRILIAN,RABU,TERLAMBAT,10:00:00
2024-05-01,13,NADIA,RABU,HADIR,08:30:00
2024-05-01,15,TAUFIQURROHMAN,RABU,HADIR,08:30:00
2024-05-02,10,TUHAN,KAMIS,TIDAK HADIR,17:00:01
2024-05-02,11,HIKAM,KAMIS,HADIR,08:30:00
2024-05-02,12,BRILIAN,KAMIS,HADIR,08:30:00
2024-05-02,13,NADIA,KAMIS,HADIR,08:30:00
2024-05-02,15,TAUFIQURROHMAN,KAMIS,TIDAK HADIR,17:00:01
2024-05-03,10,TUHAN,JUMAT,HADIR,08:30:00
2024-05-03,11,HIKAM,JUMAT,HADIR,08:30:00
2024-05-03,12,BRILIAN,JUMAT,HADIR,08:30:00
2024-05-03,13,NADIA,JUMAT,HADIR,08:30:00
2024-05-03,15,TAUFIQURROHMAN,JUMAT,HADIR,08:30:00
2024-05-06,10,TUHAN,SENIN,TERLAMBAT,10:00:00
2024-05-06,11,HIKAM,SENIN,TERLAMBAT,10:00:00
2024-05-06,12,BRILIAN,SENIN,HADIR,08:30:00
2024-05-06,13,NADIA,SENIN,HADIR,08:30:00
2024-05-06,15,TAUFIQURROHMAN,SENIN,HADIR,08:30:00
2024-05-07,10,TUHAN,SELASA,HADIR,08:30:00
2024-05-07,11,HIKAM,SELASA,HADIR,08:30:00
2024-05-07,12,BRILIAN,SELASA,HADIR,08:30:00
2024-05-07,13,NADIA,SELASA,HADIR,08:30:00
2024-05-07,15,TAUFIQURROHMAN,SELASA,HADIR,08:30:00
2024-05-08,10,TUHAN,RABU,HADIR,08:30:00
2024-05-08,11,HIKAM,RABU,HADIR,08:30:00
2024-05-08,12,BRILIAN,RABU,HADIR,08:30:00
2024-05-08,13,NADIA,RABU,HADIR,08:30:00
2024-05-08,15,TAUFIQURROHMAN,RABU,HADIR,08:30:00
2024-05-09,10,TUHAN,KAMIS,HADIR,08:30:00
2024-05-09,11,HIKAM,KAMIS,HADIR,08:30:00
2024-05-09,12,BRILIAN,KAMIS,HADIR,08:30:00
2024-05-09,13,NADIA,KAMIS,HADIR,08:30:00
2024-05-09,15,TAUFIQURROHMAN,KAMIS,HADIR,08:30:00
2024-05-10,10,TUHAN,JUMAT,HADIR,08:30:00
2024-05-10,11,HIKAM,JUMAT,HADIR,08:30:00
2024-05-10,12,BRILIAN,JUMAT,TERLAMBAT,10:00:00
2024-05-10,13,NADIA,JUMAT,HADIR,08:30:00
2024-05-10,15,TAUFIQURROHMAN,JUMAT,HADIR,08:30:00
2024-05-13,10,TUHAN,SENIN,TERLAMBAT,10:00:00
2024-05-13,11,HIKAM,SENIN,TIDAK HADIR,17:00:01
2024-05-13,12,BRILIAN,SENIN,HADIR,08:30:00
2024-05-13,13,NADIA,SENIN,HADIR,08:30:00
2024-05-13,15,TAUFIQURROHMAN,SENIN,HADIR,08:30:00
2024-05-14,10,TUHAN,SELASA,HADIR,08:30:00
2024-05-14,11,HIKAM,SELASA,HADIR,08:30:00
2024-05-14,12,BRILIAN,SELASA,HADIR,08:30:00
2024-05-14,13,NADIA,SELASA,HADIR,08:30:00
2024-05-14,15,TAUFIQURROHMAN,SELASA,HADIR,08:30:00
2024-05-15,10,TUHAN,RABU,HADIR,08:30:00
2024-05-15,11,HIKAM,RABU,TIDAK HADIR,17:00:01
2024-05-15,12,BRILIAN,RABU,HADIR,08:30:00
2024-05-15,13,NADIA,RABU,HADIR,08:30:00
2024-05-15,15,TAUFIQURROHMAN,RABU,HADIR,08:30:00
2024-05-16,10,TUHAN,KAMIS,HADIR,08:30:00
2024-05-16,11,HIKAM,KAMIS,HADIR,08:30:00
2024-05-16,12,BRILIAN,KAMIS,HADIR,08:30:00
2024-05-16,13,NADIA,KAMIS,HADIR,08:30:00
2024-05-16,15,TAUFIQURROHMAN,KAMIS,HADIR,08:30:00
2024-05-17,10,TUHAN,JUMAT,HADIR,08:30:00
2024-05-17,11,HIKAM,JUMAT,TERLAMBAT,10:00:00
2024-05-17,12,BRILIAN,JUMAT,TIDAK HADIR,17:00:01
2024-05-17,13,NADIA,JUMAT,HADIR,08:30:00
2024-05-17,15,TAUFIQURROHMAN,JUMAT,HADIR,08:30:00
2024-05-20,10,TUHAN,SENIN,TIDAK HADIR,17:00:01
2024-05-20,11,HIKAM,SENIN,HADIR,08:30:00
2024-05-20,12,BRILIAN,SENIN,HADIR,08:30:00
2024-05-20,13,NADIA,SENIN,HADIR,08:30:00
2024-05-20,15,TAUFIQURROHMAN,SENIN,HADIR,08:30:00
2024-05-21,10,TUHAN,SELASA,HADIR,08:30:00
2024-05-21,11,HIKAM,SELASA,HADIR,08:30:00
2024-05-21,12,BRILIAN,SELASA,HADIR,08:30:00
2024-05-21,13,NADIA,SELASA,HADIR,08:30:00
2024-05-21,15,TAUFIQURROHMAN,SELASA,TERLAMBAT,10:00:00
2024-05-22,10,TUHAN,RABU,HADIR,08:30:00
2024-05-22,11,HIKAM,RABU,HADIR,08:30:00
2024-05-22,12,BRILIAN,RABU,HADIR,08:30:00
2024-05-22,13,NADIA,RABU,HADIR,08:30:00
2024-05-22,15,TAUFIQURROHMAN,RABU,HADIR,08:30:00
2024-05-23,10,TUHAN,KAMIS,HADIR,08:30:00
2024-05-23,11,HIKAM,KAMIS,HADIR,08:30:00
2024-05-23,12,BRILIAN,KAMIS,HADIR,08:30:00
2024-05-23,13,NADIA,KAMIS,HADIR,08:30:00
2024-05-23,15,TAUFIQURROHMAN,KAMIS,HADIR,08:30:00
2024-05-24,10,TUHAN,JUMAT,HADIR,08:30:00
2024-05-24,11,HIKAM,JUMAT,HADIR,08:30:00
2024-05-24,12,BRILIAN,JUMAT,HADIR,08:30:00
2024-05-24,13,NADIA,JUMAT,HADIR,08:30:00
2024-05-24,15,TAUFIQURROHMAN,JUMAT,HADIR,08:30:00
2024-05-27,10,TUHAN,SENIN,HADIR,08:30:00
2024-05-27,11,HIKAM,SENIN,HADIR,08:30:00
2024-05-27,12,BRILIAN,SENIN,TERLAMBAT,10:00:00
2024-05-27,13,NADIA,SENIN,HADIR,08:30:00
2024-05-27,15,TAUFIQURROHMAN,SENIN,TIDAK HADIR,17:00:01
2024-05-28,10,TUHAN,SELASA,HADIR,08:30:00
2024-05-28,11,HIKAM,SELASA,HADIR,08:30:00
2024-05-28,12,BRILIAN,SELASA,HADIR,08:30:00
2024-05-28,13,NADIA,SELASA,HADIR,08:30:00
2024-05-28,15,TAUFIQURROHMAN,SELASA,TERLAMBAT,10:00:00
2024-05-29,10,TUHAN,RABU,HADIR,08:30:00
2024-05-29,11,HIKAM,RABU,HADIR,08:30:00
2024-05-29,12,BRILIAN,RABU,HADIR,08:30:00
2024-05-29,13,NADIA,RABU,TERLAMBAT,10:00:00
2024-05-29,15,TAUFIQURROHMAN,RABU,HADIR,08:30:00
2024-05-30,10,TUHAN,KAMIS,HADIR,08:30:00
2024-05-30,11,HIKAM,KAMIS,HADIR,08:30:00
2024-05-30,12,BRILIAN,KAMIS,HADIR,08:30:00
2024-05-30,13,NADIA,KAMIS,HADIR,08:30:00
2024-05-30,15,TAUFIQURROHMAN,KAMIS,TERLAMBAT,10:00:00
2024-05-31,10,TUHAN,JUMAT,HADIR,08:30:00
2024-05-31,11,HIKAM,JUMAT,HADIR,08:30:00
2024-05-31,12,BRILIAN,JUMAT,TIDAK HADIR,17:00:01
2024-05-31,13,NADIA,JUMAT,HADIR,08:30:00
2024-05-31,15,TAUFIQURROHMAN,JUMAT,TIDAK HADIR,17:00:01
2024-06-01,10,TUHAN,SABTU,HADIR,08:40:00
2024-06-01,11,HIKAM,SABTU,HADIR,08:00:01
2024-06-01,12,BRILIAN,SABTU,HADIR,08:06:00
2024-06-01,13,NADIA,SABTU,HADIR,08:00:00
2024-06-01,15,TAUFIQURROHMAN,SABTU,HADIR,08:21:05
2024-06-02,10,TUHAN,MINGGU,HADIR,08:40:00
2024-06-02,11,HIKAM,MINGGU,HADIR,08:10:00
2024-06-02,12,BRILIAN,MINGGU,HADIR,08:06:00
2024-06-02,13,NADIA,MINGGU,HADIR,08:25:00
2024-06-02,15,TAUFIQURROHMAN,MINGGU,HADIR,08:30:00
2024-06-03,10,TUHAN,SENIN,HADIR,08:40:00
2024-06-03,11,HIKAM,SENIN,HADIR,08:00:01
2024-06-03,12,BRILIAN,SENIN,HADIR,08:06:00
2024-06-03,13,NADIA,SENIN,HADIR,08:00:00
2024-06-03,15,TAUFIQURROHMAN,SENIN,HADIR,08:21:05
2024-06-04,10,TUHAN,SELASA,HADIR,08:40:00
2024-06-04,11,HIKAM,SELASA,HADIR,08:10:00
2024-06-04,12,BRILIAN,SELASA,HADIR,08:06:00
2024-06-04,13,NADIA,SELASA,HADIR,08:25:00
2024-06-04,15,TAUFIQURROHMAN,SELASA,HADIR,08:30:00
2024-06-05,10,TUHAN,RABU,HADIR,08:40:00
2024-06-05,11,HIKAM,RABU,HADIR,08:00:01
2024-06-05,12,BRILIAN,RABU,HADIR,08:06:00
2024-06-05,13,NADIA,RABU,HADIR,08:00:00
2024-06-05,15,TAUFIQURROHMAN,RABU,HADIR,08:21:05
2024-06-06,10,TUHAN,KAMIS,HADIR,08:40:00
2024-06-06,11,HIKAM,KAMIS,HADIR,08:10:00
2024-06-06,12,BRILIAN,KAMIS,HADIR,08:06:00
2024-06-06,13,NADIA,KAMIS,HADIR,08:25:00
2024-06-06,15,TAUFIQURROHMAN,KAMIS,HADIR,08:30:00
2024-06-07,10,TUHAN,JUMAT,HADIR,08:40:00
2024-06-07,11,HIKAM,JUMAT,HADIR,08:00:01
2024-06-07,12,BRILIAN,JUMAT,HADIR,08:06:00
2024-06-07,13,NADIA,JUMAT,HADIR,08:00:00
2024-06-07,15,TAUFIQURROHMAN,JUMAT,HADIR,08:21:05
2024-06-08,10,TUHAN,SABTU,HADIR,08:40:00
2024-06-08,11,HIKAM,SABTU,HADIR,08:10:00
2024-06-08,12,BRILIAN,SABTU,HADIR,08:06:00
2024-06-08,13,NADIA,SABTU,HADIR,08:25:00
2024-06-08,15,TAUFIQURROHMAN,SABTU,HADIR,08:30:00
2024-06-09,10,TUHAN,MINGGU,HADIR,08:40:00
2024-06-09,11,HIKAM,MINGGU,HADIR,08:00:01
2024-06-09,12,BRILIAN,MINGGU,HADIR,08:06:00
2024-06-09,13,NADIA,MINGGU,HADIR,08:00:00
2024-06-09,15,TAUFIQURROHMAN,MINGGU,HADIR,08:21:05
2024-06-10,10,TUHAN,SENIN,HADIR,08:40:00
2024-06-10,11,HIKAM,SENIN,HADIR,08:10:00
2024-06-10,12,BRILIAN,SENIN,TERLAMBAT,09:06:00
2024-06-10,13,NADIA,SENIN,HADIR,08:25:00
2024-06-10,15,TAUFIQURROHMAN,SENIN,TERLAMBAT,09:30:00
2024-06-11,10,TUHAN,SELASA,HADIR,08:40:00
2024-06-11,12,BRILIAN,SELASA,HADIR,08:06:00
2024-06-11,11,HIKAM,SELASA,TIDAK HADIR,23:56:45
2024-06-11,13,NADIA,SELASA,TIDAK HADIR,23:56:45
2024-06-11,15,TAUFIQURROHMAN,SELASA,TIDAK HADIR,23:56:45
